vote_id,term,position,area,term_n,total_r,total_p
148,99年,鎮民代表,宜蘭縣羅東鎮,99,0,0
149,99年,鎮民代表,宜蘭縣羅東鎮,99,328000,376935
150,99年,鎮民代表,宜蘭縣羅東鎮,99,190000,220167
151,99年,鎮民代表,宜蘭縣羅東鎮,99,54000,285351
152,99年,里長,宜蘭縣蘇澳鎮,99,0,108739
153,99年,里長,宜蘭縣蘇澳鎮,99,0,33300
154,99年,里長,宜蘭縣蘇澳鎮,99,230000,184416
155,99年,里長,宜蘭縣蘇澳鎮,99,0,70825
156,99年,里長,宜蘭縣蘇澳鎮,99,60000,62402
157,99年,里長,宜蘭縣蘇澳鎮,99,55600,97183
158,99年,里長,宜蘭縣蘇澳鎮,99,36500,37250
159,99年,鎮民代表,宜蘭縣蘇澳鎮,99,0,162022
160,99年,鎮民代表,宜蘭縣蘇澳鎮,99,58000,372190
161,99年,鎮民代表,宜蘭縣蘇澳鎮,99,0,0
162,99年,鎮民代表,宜蘭縣蘇澳鎮,99,219000,265860
163,99年,鎮民代表,宜蘭縣蘇澳鎮,99,260000,422486
164,99年,鎮民代表,宜蘭縣蘇澳鎮,99,0,175508
165,99年,村長,屏東縣三地門鄉,99,0,0
166,99年,鄉民代表,屏東縣三地門鄉,99,0,0
167,99年,鄉民代表,屏東縣來義鄉,99,48000,48000
168,99年,村長,屏東縣內埔鄉,99,0,0
169,99年,鄉民代表,屏東縣內埔鄉,99,10000,92510
170,99年,市民代表,屏東縣屏東市,99,406018,461723
171,99年,市民代表,屏東縣屏東市,99,35000,105000
172,99年,市民代表,屏東縣屏東市,99,17600,18000
173,99年,市民代表,屏東縣屏東市,99,61005,94576
174,99年,市民代表,屏東縣屏東市,99,248708,288670
175,99年,市民代表,屏東縣屏東市,99,112009,524700
176,99年,市民代表,屏東縣屏東市,99,150000,150140
177,99年,市民代表,屏東縣屏東市,99,0,0
178,99年,市民代表,屏東縣屏東市,99,0,0
179,99年,市民代表,屏東縣屏東市,99,2000,104300
180,99年,市民代表,屏東縣屏東市,99,20002,195046
181,99年,市民代表,屏東縣屏東市,99,0,0
182,99年,市民代表,屏東縣屏東市,99,0,0
183,99年,市民代表,屏東縣屏東市,99,213000,296108
184,99年,市民代表,屏東縣屏東市,99,405000,538295
185,99年,里長,屏東縣恆春鎮,99,800,800
186,99年,鄉民代表,屏東縣枋山鄉,99,135350,148305
187,99年,鄉民代表,屏東縣林邊鄉,99,65000,81754
188,99年,鄉民代表,屏東縣泰武鄉,99,0,63374
189,99年,鎮民代表,屏東縣潮州鎮,99,50000,135717
190,99年,鎮民代表,屏東縣潮州鎮,99,0,414591
191,99年,鄉民代表,屏東縣牡丹鄉,99,182000,272957
192,99年,村長,屏東縣獅子鄉,99,70000,70000
193,99年,鄉民代表,屏東縣獅子鄉,99,245100,245350
194,99年,鄉民代表,屏東縣獅子鄉,99,0,0
195,99年,鄉民代表,屏東縣瑪家鄉,99,63000,63000
196,99年,村長,屏東縣竹田鄉,99,13800,39900
197,99年,鄉民代表,屏東縣萬丹鄉,99,0,0
198,99年,鄉民代表,屏東縣萬丹鄉,99,200000,232240
199,99年,鄉民代表,屏東縣萬巒鄉,99,111400,119851
200,99年,鄉民代表,屏東縣霧台鄉,99,76000,164223
201,99年,鄉民代表,屏東縣霧臺鄉,99,0,0
202,99年,村長,彰化縣二水鄉,99,22000,22000
203,99年,村長,彰化縣二水鄉,99,442006,449498
736,99年,里長,臺北市,99,0,0
204,99年,鄉民代表,彰化縣伸港鄉,99,45001,64586
205,99年,鄉民代表,彰化縣伸港鄉,99,120000,126870
206,99年,鎮民代表,彰化縣北斗鎮,99,10650,34020
207,99年,鎮民代表,彰化縣和美鎮,99,100000,125360
208,99年,鎮民代表,彰化縣和美鎮,99,68800,125400
209,99年,鎮民代表,彰化縣和美鎮,99,0,0
210,99年,鎮民代表,彰化縣和美鎮,99,0,17515
211,99年,鎮民代表,彰化縣員林鎮,99,262606,464990
212,99年,鎮民代表,彰化縣員林鎮,99,439008,517247
213,99年,市民代表,彰化縣彰化市,99,130000,682102
214,99年,市民代表,彰化縣彰化市,99,315000,325980
215,99年,市民代表,彰化縣彰化市,99,106600,125000
216,99年,市民代表,彰化縣彰化市,99,102000,116882
217,99年,市民代表,彰化縣彰化市,99,257000,257000
218,99年,市民代表,彰化縣彰化市,99,231500,276434
219,99年,市民代表,彰化縣彰化市,99,148801,343297
220,99年,里長,彰化縣彰化市,99,2000,8180
221,99年,鄉民代表,彰化縣永靖鄉,99,12000,15000
