區域,候選人,職務,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,超過三萬元之收入合計,金錢收入總額,收入合計,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,專戶存款結存金額,公共關係費用支出,支出合計,超過三萬元之支出合計,收支結存金額,金錢以外之賸餘財產,結算日期,申報日期,更正日期
桃園縣 ,王興業 ,None,356000.0,530000.0,0.0,0.0,0.0,5.0,400000.0,861005.0,886005.0,25000.0,147700.0,1067692.0,10049.0,0.0,123008.0,350.0,133933.0,0.0,0.0,1005.0,0.0,1482732.0,1130447.0,-596727.0,0.0,None,None,None
桃園縣 ,古秀烽 ,None,435000.0,95000.0,0.0,0.0,0.0,6.0,220000.0,530006.0,530006.0,0.0,0.0,341913.0,0.0,0.0,259520.0,0.0,26090.0,0.0,0.0,1006.0,0.0,627523.0,200000.0,-97517.0,0.0,None,None,None
桃園縣 ,吳宗憲 ,None,257000.0,301000.0,50000.0,0.0,0.0,0.0,450000.0,583000.0,608000.0,25000.0,1131507.0,834485.0,0.0,127000.0,92250.0,0.0,1086470.0,0.0,0.0,0.0,0.0,3271712.0,1952300.0,-2663712.0,0.0,None,None,None
桃園縣 ,吳寶鈺 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None
桃園縣 ,呂宏仁 ,None,714000.0,265000.0,30000.0,0.0,0.0,0.0,720000.0,1009000.0,1009000.0,0.0,300240.0,1291730.0,147000.0,196000.0,268910.0,49620.0,499207.0,0.0,0.0,0.0,0.0,2752707.0,1820225.0,-1743707.0,0.0,None,None,None
桃園縣 ,呂秀紋 ,None,184000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,234000.0,234000.0,0.0,171500.0,0.0,29800.0,0.0,0.0,0.0,59800.0,0.0,0.0,0.0,0.0,261100.0,0.0,-27100.0,0.0,None,None,None
桃園縣 ,呂林小鳳 ,None,482450.0,494000.0,0.0,1000.0,22200.0,84.0,556000.0,0.0,999734.0,37150.0,0.0,955736.0,0.0,0.0,0.0,0.0,217914.0,0.0,0.0,84.0,0.0,1173650.0,921136.0,-173916.0,0.0,None,None,None
桃園縣 ,呂淑真 ,None,859000.0,925600.0,0.0,25000.0,43360.0,0.0,1074000.0,1721000.0,1852960.0,131960.0,559000.0,349888.0,198548.0,71903.0,718901.0,16436.0,377255.0,0.0,0.0,0.0,0.0,2291931.0,1255668.0,-438971.0,0.0,None,None,None
桃園縣 ,李月琴 ,None,223000.0,232000.0,0.0,0.0,0.0,0.0,400000.0,455000.0,455000.0,0.0,70000.0,164579.0,148971.0,0.0,29095.0,0.0,77424.0,0.0,0.0,0.0,3000.0,493069.0,260000.0,-38069.0,0.0,None,None,None
桃園縣 ,李柏坊 ,None,975600.0,855197.0,50000.0,10000.0,0.0,0.0,1222197.0,1674600.0,1890797.0,216197.0,314100.0,1060387.0,0.0,128000.0,184460.0,72154.0,336516.0,0.0,0.0,0.0,0.0,2095617.0,1029949.0,-204820.0,0.0,None,None,None
桃園縣 ,李家興 ,None,223000.0,1760000.0,50000.0,0.0,0.0,0.0,1920000.0,2033000.0,2033000.0,0.0,274500.0,637050.0,0.0,0.0,1185640.0,0.0,426529.0,0.0,0.0,0.0,0.0,2523719.0,1981940.0,-490719.0,0.0,None,None,None
桃園縣 ,李訓求 ,None,132000.0,172000.0,0.0,0.0,0.0,0.0,160000.0,304000.0,304000.0,0.0,0.0,889860.0,29684.0,28910.0,539089.0,0.0,121028.0,0.0,0.0,0.0,0.0,1608571.0,891760.0,-1304571.0,0.0,None,None,None
桃園縣 ,李雲強 ,None,182000.0,70000.0,50000.0,0.0,0.0,8.0,150000.0,302000.0,302008.0,0.0,28600.0,499315.0,191000.0,112810.0,82500.0,0.0,231619.0,0.0,0.0,8.0,1000.0,1146844.0,670435.0,-844836.0,0.0,None,None,None
桃園縣 ,李曉鐘 ,None,2323000.0,2198600.0,0.0,0.0,0.0,144.0,3629600.0,4482144.0,4521744.0,39600.0,958500.0,1770547.0,352000.0,308850.0,1089204.0,25267.0,333701.0,60000.0,0.0,144.0,0.0,4898069.0,1818886.0,-376325.0,0.0,None,None,None
桃園縣 ,李麗珠 ,None,504000.0,171000.0,50000.0,20000.0,0.0,6.0,460000.0,745006.0,745006.0,0.0,59000.0,403915.0,226000.0,24820.0,92810.0,23270.0,320878.0,0.0,0.0,6.0,0.0,1150693.0,797674.0,-405687.0,0.0,None,None,None
桃園縣 ,沐平波 ,None,635000.0,160000.0,50000.0,0.0,0.0,0.0,350000.0,740000.0,845000.0,105000.0,0.0,751778.0,63000.0,92000.0,204100.0,26990.0,117177.0,0.0,0.0,0.0,0.0,1255045.0,476900.0,-410045.0,0.0,None,None,None
桃園縣 ,卓德樹 ,None,105000.0,12000.0,50000.0,0.0,0.0,0.0,150000.0,167000.0,167000.0,0.0,604950.0,1272327.0,170088.0,40000.0,279500.0,0.0,65081.0,0.0,0.0,0.0,0.0,2431946.0,1377500.0,-2264946.0,0.0,None,None,None
桃園縣 ,周玉琴 ,None,571400.0,737600.0,50000.0,0.0,1000.0,18.0,910000.0,1360018.0,1360018.0,0.0,369000.0,1029687.0,207000.0,166600.0,832455.0,22479.0,282022.0,0.0,0.0,18.0,0.0,2909243.0,1408054.0,-1549225.0,0.0,None,None,None
桃園縣 ,林明義 ,None,66000.0,151000.0,30000.0,0.0,0.0,0.0,105000.0,247000.0,247000.0,0.0,0.0,804788.0,10000.0,92345.0,0.0,0.0,76763.0,0.0,0.0,0.0,0.0,983896.0,598261.0,-736896.0,0.0,None,None,None
桃園縣 ,林俐玲 ,None,662600.0,969000.0,0.0,16000.0,3000.0,41.0,1236000.0,1650641.0,1650641.0,0.0,620600.0,688554.0,0.0,0.0,543213.0,21000.0,397663.0,0.0,0.0,641.0,0.0,2271030.0,840071.0,-620389.0,0.0,None,None,None
桃園縣 ,林政賢 ,None,1053800.0,73000.0,50000.0,0.0,0.0,11.0,636000.0,1176811.0,1176811.0,0.0,0.0,1102277.0,7180.0,133500.0,68600.0,0.0,57414.0,0.0,0.0,0.0,28850.0,1397821.0,1069524.0,-221010.0,0.0,None,None,None
桃園縣 ,林國政 ,None,1606400.0,1777090.0,0.0,15000.0,0.0,160000.0,3294590.0,2806000.0,3558490.0,752490.0,288600.0,2805260.0,187500.0,199314.0,211500.0,6333.0,492393.0,0.0,0.0,0.0,37200.0,4228100.0,2812498.0,-669610.0,405490.0,None,None,None
桃園縣 ,林德忠 ,None,30400.0,0.0,50000.0,0.0,0.0,0.0,50000.0,16000.0,80400.0,14400.0,0.0,197982.0,0.0,0.0,0.0,1205.0,72575.0,0.0,0.0,0.0,0.0,271762.0,150922.0,-191362.0,0.0,None,None,None
桃園縣 ,邱伶樺 ,None,223000.0,570000.0,0.0,0.0,0.0,0.0,632000.0,793000.0,793000.0,0.0,287940.0,1082033.0,400.0,0.0,2000.0,22279.0,128123.0,0.0,0.0,0.0,0.0,1522775.0,903314.0,-729775.0,0.0,None,None,None
桃園縣 ,邱佳亮 ,None,250000.0,155000.0,0.0,0.0,0.0,1.0,231000.0,405001.0,405001.0,0.0,0.0,442505.0,3500.0,0.0,0.0,21695.0,473451.0,0.0,0.0,0.0,0.0,941151.0,115044.0,-536150.0,0.0,None,None,None
桃園縣 ,邱奕勝 ,None,1196000.0,3157000.0,50000.0,0.0,0.0,0.0,4219000.0,4261000.0,4403000.0,142000.0,793600.0,2338323.0,66450.0,90000.0,970710.0,22863.0,345783.0,0.0,0.0,0.0,0.0,4627729.0,3831795.0,-224729.0,0.0,None,None,None
桃園縣 ,邱奕澄 ,None,494000.0,196000.0,0.0,0.0,0.0,0.0,300000.0,690000.0,690000.0,0.0,0.0,2792133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792133.0,2792133.0,-2102133.0,0.0,None,None,None
桃園縣 ,邱素芬 ,None,666100.0,392000.0,0.0,0.0,15000.0,0.0,596000.0,1073100.0,1073100.0,0.0,265600.0,264844.0,118800.0,13943.0,82910.0,24875.0,302128.0,0.0,0.0,0.0,0.0,1073100.0,319000.0,0.0,0.0,None,None,None
桃園縣 ,洪奕巔 ,None,208000.0,17500.0,50000.0,4000.0,0.0,1.0,150000.0,263001.0,279501.0,16500.0,444850.0,368836.0,920.0,48487.0,5000.0,76398.0,91917.0,0.0,0.0,1.0,0.0,1036408.0,714000.0,-756907.0,16500.0,None,None,None
桃園縣 ,洪國治 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None
桃園縣 ,徐玉樹 ,None,453599.0,375170.0,0.0,0.0,0.0,7.0,419999.0,780206.0,828776.0,48570.0,250400.0,212900.0,0.0,0.0,98390.0,0.0,557833.0,0.0,0.0,0.0,0.0,1119523.0,423374.0,-290747.0,0.0,None,None,None
桃園縣 ,徐其萬 ,None,924350.0,1072400.0,30000.0,0.0,0.0,8.0,1021400.0,1821608.0,2026758.0,205150.0,149050.0,1351881.0,14000.0,112500.0,297493.0,17861.0,853803.0,0.0,0.0,8.0,0.0,2796588.0,1746941.0,-769830.0,0.0,None,None,None
桃園縣 ,徐景文 ,None,524000.0,989600.0,0.0,0.0,0.0,51.0,1098000.0,1423051.0,1513651.0,90600.0,0.0,1109462.0,0.0,0.0,401895.0,16800.0,56450.0,0.0,0.0,51.0,0.0,1584607.0,1030000.0,-70956.0,0.0,None,None,None
桃園縣 ,高世嘉 ,None,1803500.0,530000.0,50000.0,0.0,0.0,0.0,2020000.0,2383500.0,2383500.0,0.0,0.0,1615186.0,201660.0,62500.0,256480.0,9308.0,410793.0,0.0,0.0,0.0,0.0,2555927.0,1806745.0,-172427.0,0.0,None,None,None
桃園縣 ,張文瑜 ,None,135928.0,120000.0,0.0,0.0,0.0,27.0,60000.0,255928.0,255955.0,0.0,0.0,174779.0,0.0,90707.0,65700.0,5706.0,216845.0,0.0,0.0,0.0,0.0,553737.0,101100.0,-297782.0,0.0,None,None,None
桃園縣 ,張火爐 ,None,632000.0,295600.0,0.0,30000.0,0.0,0.0,740000.0,957600.0,957600.0,0.0,173700.0,491474.0,56800.0,0.0,467920.0,17940.0,40705.0,0.0,0.0,0.0,0.0,1248539.0,609086.0,-290939.0,0.0,None,None,None
桃園縣 ,張肇良 ,None,1246600.0,1250600.0,50000.0,30000.0,0.0,67.0,1886000.0,2577267.0,2577267.0,0.0,969500.0,645261.0,0.0,0.0,526184.0,48577.0,407774.0,0.0,0.0,0.0,0.0,2597296.0,894935.0,-20029.0,0.0,None,None,None
桃園縣 ,梁為超 ,None,675800.0,702000.0,50000.0,11000.0,200.0,82.0,1002000.0,1439082.0,1439082.0,0.0,334000.0,1627070.0,194000.0,0.0,200297.0,1345.0,97811.0,0.0,0.0,20.0,0.0,2454523.0,1903777.0,-1015441.0,0.0,None,None,None
桃園縣 ,梁新武 ,None,440000.0,340000.0,0.0,0.0,0.0,0.0,510000.0,780000.0,780000.0,0.0,0.0,780200.0,0.0,0.0,0.0,0.0,48815.0,0.0,0.0,0.0,34400.0,863415.0,690000.0,-83415.0,0.0,None,None,None
桃園縣 ,莊玉輝 ,None,1588000.0,110000.0,0.0,0.0,0.0,28.0,1333000.0,1670028.0,1698028.0,28000.0,216000.0,1119909.0,0.0,0.0,182700.0,7256.0,195741.0,0.0,0.0,515028.0,0.0,1721606.0,1124384.0,-23578.0,0.0,None,None,None
桃園縣 ,莊阿松 ,None,909000.0,444000.0,0.0,0.0,96000.0,0.0,900000.0,1143000.0,1449000.0,306000.0,313000.0,306704.0,362637.0,3000.0,244800.0,0.0,704988.0,0.0,0.0,0.0,0.0,1935129.0,613300.0,-486129.0,0.0,None,None,None
桃園縣 ,許國楣 ,None,198000.0,63000.0,0.0,0.0,0.0,13.0,86000.0,261013.0,261013.0,0.0,1075850.0,1023207.0,1655.0,148630.0,647216.0,88876.0,302990.0,0.0,0.0,0.0,0.0,3288424.0,1060480.0,-3027411.0,0.0,None,None,None
桃園縣 ,許清順 ,None,1566600.0,763200.0,0.0,0.0,3000.0,0.0,1036000.0,2332800.0,2332800.0,0.0,963500.0,1920877.0,0.0,0.0,348410.0,72620.0,292329.0,0.0,0.0,0.0,0.0,3597736.0,2568927.0,-1264936.0,0.0,None,None,None
