vote_id,election_id,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,income,cost,area,no,name,gender,birth_year,sec_name,sec_gender,sec_birth_year,party,vote_cnt,vote_rate,elect_ind,incumbent_ind,year,term,title,main_type,sub_type,leader_ind,position_level
2402,20051201T1C2,269666,124000,100000,1000,0,71,0,339546,0,0,121460,32670,1104,0,0,0,494737,494780,臺中市第六選區,14,陳成添,M,1963,"","",,中國國民黨,8192,0.0804,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2403,20051201T1C2,614000,0,0,0,0,22,0,182164,98000,80000,29500,0,360387,0,0,0,614022,750051,臺中市第一選區,10,陳振訓,M,1956,"","",,親民黨,1475,0.0246,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2404,20051201T1C2,1703800,1939900,100000,2000,0,391,0,1392303,195510,132900,277087,15010,1434645,0,300000,0,3746091,3747455,臺中市第二選區,11,陳有江,M,1938,"","",,中國國民黨,6555,0.1034,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2405,20051201T1C2,1512200,756000,0,0,0,331,0,923352,19500,60000,56500,41988,1115060,0,0,0,2268531,2216400,臺中市第四選區,9,陳淑華,F,1970,"","",,民主進步黨,8463,0.1064,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2406,20051201T1C2,60000,1170000,100000,0,0,71,0,993700,31051,103000,168500,0,224670,0,0,0,1330071,1520921,臺中市第六選區,8,陳清景,M,1944,"","",,中國國民黨,7486,0.0734,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2407,20051201T1C2,1020000,1010000,100000,0,6000,483,0,1111327,0,0,98220,47896,920850,0,0,0,2136483,2178293,臺中市第四選區,14,陳瑞德,M,1950,"","",,中國國民黨,5297,0.0666,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2408,20051201T1C2,109000,0,100000,0,10000,0,0,158120,279000,0,0,3500,0,0,0,0,219000,440620,臺中市第六選區,10,陳瑞昌,M,1976,"","",,中國國民黨,5203,0.051,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2409,20051201T1C2,1189160,966850,0,15000,1000,61,0,626910,42460,0,824900,41397,716500,0,0,0,2172071,2252167,臺中市第三選區,1,陳福文,M,1951,"","",,民主進步黨,6330,0.0792,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2410,20051201T1C2,876000,1451050,100000,2000,2200,81,0,819068,289800,344700,0,76256,1080348,0,0,0,2431331,2610172,臺中市第二選區,1,顏志修,M,1963,"","",,中國國民黨,6621,0.1045,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2411,20051201T1C2,432000,330000,100000,0,6000,19,0,484019,275800,390355,31560,0,137256,0,0,0,868019,1318990,臺中市第三選區,10,顏英男,M,1938,"","",,中國國民黨,5359,0.067,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2412,20051201T1C2,300000,0,0,0,0,0,0,517200,0,0,0,0,0,0,0,0,300000,517200,臺中市第六選區,11,魏仕諭,M,1969,"","",,無,445,0.0044,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2413,20051201T2C2,580000,250000,0,0,0,44,0,208280,1050,75000,314000,21420,319537,0,0,0,830044,939287,臺中市第七選區,1,黃仁,M,1962,"","",,親民黨,304,0.3572,f,f,1996,94,2005-94年縣市議員選舉>平原,縣市議員,選舉,0,6
2414,20051201T1C2,1484000,2479000,0,0,0,309,0,694707,66925,0,235860,112654,2054169,0,0,0,3963309,3164315,臺中市第一選區,6,黃國書,M,1964,"","",,民主進步黨,8847,0.1476,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2415,20051201T1C2,556000,592000,100000,0,0,57,0,451085,207380,0,136652,5600,499306,0,0,0,1248057,1300023,臺中市第五選區,8,黃淑芬,F,1964,"","",,中國國民黨,4021,0.0694,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2416,20051201T1C2,215200,171000,0,0,10000,0,0,512591,0,0,0,0,0,0,0,0,396200,512591,臺中市第一選區,4,黃英傑,M,1965,"","",,民主進步黨,7793,0.13,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2417,20051201T1C2,1410100,1591900,0,0,138895,35,0,2911858,326680,19539,2400,0,1277426,0,0,0,3140930,4537903,臺中縣第八選區,4,何明杰,M,1975,"","",,民主進步黨,9179,0.1276,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
