選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99年宜蘭縣五結鄉村長,林何良,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉村長,王長福,0,0,0,0,0,0,0,32900,0,0,0,2948,0,0,0,0
99年宜蘭縣五結鄉村長,藍木樹,0,0,0,0,0,0,0,53500,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉村長,陳逸德,83800,0,0,0,0,0,0,47974,0,0,66681,0,520,0,0,0
99年宜蘭縣五結鄉村長,黃政雄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉村長,黃文宏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,余宗漢,368000,0,0,0,0,1,100000,225373,0,0,0,1000,178300,0,0,0
99年宜蘭縣五結鄉鄉民代表,廖啟賢,58000,0,0,0,0,0,0,136950,0,0,69458,1723,29936,0,0,0
99年宜蘭縣五結鄉鄉民代表,楊邱順,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,沈信雄,0,0,0,0,0,0,0,145100,0,0,0,0,2984,0,0,0
99年宜蘭縣五結鄉鄉民代表,簡石木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,鄒春龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,陳啟生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,陳林煌,96600,0,0,0,0,0,0,117900,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,陳錦池,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣五結鄉鄉民代表,陳長義,8000,0,0,0,0,0,0,118753,0,0,0,4384,29221,0,0,0
99年宜蘭縣冬山鄉村長,林坤煌,40000,0,0,0,0,0,0,17600,0,0,0,0,15995,0,0,0
99年宜蘭縣冬山鄉鄉民代表,林俊甫,35000,25000,0,0,0,0,0,34635,0,660,10000,0,28750,0,0,12000
99年宜蘭縣冬山鄉鄉民代表,楊弘旻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣員山鄉村長,周文科,0,0,0,0,0,0,0,0,0,0,0,0,39163,0,0,0
99年宜蘭縣員山鄉村長,周素麗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣員山鄉村長,朱井村,0,0,0,0,0,0,3600,79901,820,650,0,0,10265,0,0,0
99年宜蘭縣員山鄉村長,楊榮振,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣員山鄉村長,高明芳,6000,18000,0,0,0,0,0,33000,0,0,0,0,0,0,0,0
99年宜蘭縣員山鄉鄉民代表,張基煌,33200,0,0,6000,0,0,0,51930,0,0,0,0,353528,0,0,0
99年宜蘭縣員山鄉鄉民代表,張宜樺,75000,80000,0,0,0,0,0,167810,53000,554,0,0,554154,0,0,0
99年宜蘭縣員山鄉鄉民代表,曾再忠,122200,0,0,0,0,2,0,174750,0,0,0,0,17235,0,0,0
99年宜蘭縣員山鄉鄉民代表,李文熙,19000,0,0,0,0,2,95000,118050,45000,26900,0,2716,183928,0,0,0
99年宜蘭縣員山鄉鄉民代表,李筱婷,0,0,0,0,0,0,0,188100,0,5000,0,0,95896,0,0,0
99年宜蘭縣員山鄉鄉民代表,楊金來,0,0,0,0,0,0,0,17600,14000,0,0,0,287660,0,0,0
99年宜蘭縣員山鄉鄉民代表,藍萬義,0,0,0,0,0,0,0,77009,0,0,0,0,235170,0,0,0
99年宜蘭縣員山鄉鄉民代表,許芳明,0,0,0,0,0,0,0,73600,0,22000,0,0,273810,0,0,0
99年宜蘭縣員山鄉鄉民代表,謝萬得,84000,0,0,0,0,0,0,122200,0,0,0,0,2579,0,0,0
99年宜蘭縣員山鄉鄉民代表,鄭春福,0,0,0,0,0,0,0,67700,0,0,0,0,73614,0,0,0
99年宜蘭縣員山鄉鄉民代表,陳俊宇,465000,30000,0,0,0,35,510000,248055,0,37016,8500,92606,327852,0,0,0
99年宜蘭縣員山鄉鄉民代表,陳俊,21000,0,0,1000,0,0,0,79750,34300,17299,28000,10229,295202,0,0,0
99年宜蘭縣員山鄉鄉民代表,陳蒼穎,0,0,0,0,0,0,0,97200,0,0,0,0,287233,0,0,0
